0.000000,-7.544686,14.989293,0.273659,0.328940,0.380760
1.000000,-7.817843,15.641827,0.282594,0.321740,0.383032
2.000000,-7.882980,15.941504,0.279643,0.324846,0.382597
3.000000,-7.243510,14.352811,0.273581,0.320025,0.384464
4.000000,-7.621921,15.078218,0.292922,0.325017,0.377624
5.000000,-7.493221,15.044714,0.281748,0.327583,0.383054
6.000000,-7.938708,15.756696,0.294315,0.322677,0.379645
7.000000,-7.558604,14.702095,0.292468,0.322676,0.379466
8.000000,-7.671637,15.368358,0.288215,0.328006,0.381541
9.000000,-7.396232,14.600821,0.271457,0.330417,0.381866
