0.000000,-3.794587,3.484905,0.241700,0.343545,0.398561
1.000000,-3.701891,3.439478,0.239757,0.346150,0.401577
2.000000,-3.784690,3.407367,0.231577,0.339776,0.393049
3.000000,-3.950082,3.705521,0.248466,0.330500,0.394067
4.000000,-3.951704,3.692557,0.238560,0.340930,0.397788
5.000000,-3.899828,3.677441,0.247366,0.336852,0.393693
6.000000,-3.687743,3.311163,0.232089,0.342871,0.406199
7.000000,-3.748146,3.471012,0.243559,0.339529,0.407210
8.000000,-3.909354,3.619268,0.242665,0.338900,0.402726
9.000000,-3.800201,3.553671,0.250104,0.339170,0.392473
